IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
140.238.144.211,2603:c021:4:9a88::1022,443,111.97,CA,YYZ,48.15,47.55
40.233.87.120,2603:c021:4:9a88::1016,443,87.57,CA,YYZ,51.68,63.39
40.233.77.216,2603:c021:5:8c88::825,443,30.16,CA,YYZ,37.09,42.4
40.233.103.212,2603:c021:5:8c88::1008,443,25.79,CA,YYZ,45.64,53.51
40.233.71.238,2603:c021:5:8c88::1006,443,24.99,CA,YYZ,38.53,48.95
172.98.207.58,172.98.207.6,443,23.38,CA,YYZ,57.77,80.42
159.203.2.180,159.203.2.180,443,18.41,CA,YYZ,41.83,52.06
65.49.232.101,65.49.232.101,443,17.41,CA,YVR,60.29,65.65
40.233.99.248,2603:c021:4:9a88::1020,443,15.05,CA,YYZ,38.22,39.65
45.133.17.106,45.133.17.106,443,11.48,CA,YYZ,64.59,65.28
72.11.146.199,72.11.146.199,443,8.75,CA,YYZ,43.7,71.33
40.233.68.138,40.233.68.138,443,4.19,CA,YYZ,35.93,46.87
157.230.68.193,137.184.168.43,443,3.64,CA,YYZ,102.31,73.78
72.11.145.117,72.11.145.117,443,3.01,CA,YYZ,36.09,96.77
137.184.168.43,137.184.168.43,443,2.59,CA,YYZ,39.33,49.31
167.160.190.137,167.160.190.137,443,2.22,CA,YYZ,35.58,66.71
150.242.90.205,150.242.90.205,443,1.97,CA,YVR,61.76,62.53
158.69.112.254,158.69.112.254,443,1.84,CA,YYZ,52.27,80.49
204.216.107.15,204.216.107.15,443,1.51,CA,YYZ,55.3,76.28
68.233.122.42,68.233.122.42,443,1.4,CA,YYZ,55.38,77.1
40.233.116.225,40.233.116.225,443,1.09,CA,YYZ,40.42,48.29
82.38.139.231,82.38.139.231,443,4.68,CH,ZRH,137.61,158.09
45.128.52.237,45.128.52.237,443,3.57,CH,ZRH,138.41,152.15
91.245.225.69,91.245.225.69,443,3.49,CH,ZRH,168.19,214.51
82.38.64.166,82.38.64.166,443,3.45,CH,ZRH,148.52,177.19
82.38.64.162,82.38.64.162,443,3.31,CH,ZRH,143.08,150.66
152.67.85.239,152.67.85.239,443,3.04,CH,ZRH,138.34,153.8
83.228.193.177,83.228.193.177,443,2.89,CH,LYS,136.83,166.1
83.228.193.177,83.228.193.177,8443,2.75,CH,GVA,139.35,153.68
45.59.114.151,45.59.114.151,443,2.64,CH,ZRH,155.08,187.66
38.180.85.203,38.180.85.203,443,2.37,CH,MXP,139.47,152.26
141.227.139.220,141.227.139.220,443,2.13,CH,ZRH,135.66,148.01
84.234.17.132,84.234.17.132,443,2.07,CH,LYS,138.23,167.43
91.90.193.138,91.90.193.138,443,1.99,CH,LYS,139.84,153.68
